codauto;ccaa;cpro;provincia;sexo;grupo_edad;ola;num_def;num_casos;num_hosp;num_uci;poblacion_total;lat_prov;long_prov;long_ccaa;lat_ccaa
08;Castilla-La Mancha;02;Albacete;Mujeres;30-39;segunda_etapa;2;919;11;1;23638;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;30-39;tercera_etapa;0;679;6;2;23638;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;40-49;primera_etapa;1;245;71;7;29925;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;40-49;segunda_etapa;0;1153;15;2;29925;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;40-49;tercera_etapa;1;829;11;5;29925;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;50-59;primera_etapa;7;382;138;15;30122;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;50-59;segunda_etapa;0;1078;38;6;30122;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;50-59;tercera_etapa;2;833;24;4;30122;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;60-69;primera_etapa;11;244;135;13;21380;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;60-69;segunda_etapa;3;656;50;15;21380;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;60-69;tercera_etapa;1;494;37;9;21380;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;70-79;primera_etapa;53;222;192;11;16918;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;70-79;segunda_etapa;7;374;57;7;16918;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;70-79;tercera_etapa;8;316;60;16;16918;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;80+;primera_etapa;160;387;265;4;15392;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;80+;segunda_etapa;47;487;124;1;15392;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;80+;tercera_etapa;52;372;98;1;15392;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;NC;primera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;NC;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Mujeres;NC;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
